Card Name,Quantity,Regulation,Set
Dreepy,4
Drakloak,4
Dragapult ex,3
Munkidori,2
Budew,2
Dunsparce,1
Dudunsparce,1
Meowth ex,1
Fezandipiti ex,1
Lillie's Determination,4
Boss's Orders,3
Crispin,2
Rosa's Encouragement,1
Poké Pad,4
Crushing Hammer,4
Buddy-Buddy Poffin,4
Night Stretcher,3
Ultra Ball,3
Unfair Stamp,1
Special Red Card,1
Risky Ruins,2
Fire Energy,3
Darkness Energy,3
Psychic Energy,3
